# FROM-URL	TO-URL
/he/docs/DOM	/he/docs/Web/API/Document_Object_Model
/he/docs/Glossary/מערך	/he/docs/Glossary/array
/he/docs/HTML	/he/docs/Web/HTML
/he/docs/HTML/Element	/he/docs/Web/HTML/Element
/he/docs/HTML/Element/Heading_Elements	/he/docs/Web/HTML/Element/Heading_Elements
/he/docs/HTML/Element/a	/he/docs/Web/HTML/Element/a
/he/docs/HTML/Element/address	/he/docs/Web/HTML/Element/address
/he/docs/HTML/Element/applet	/he/docs/Web/HTML/Element/applet
/he/docs/HTML/Element/article	/he/docs/Web/HTML/Element/article
/he/docs/HTML/Element/aside	/he/docs/Web/HTML/Element/aside
/he/docs/HTML/Element/b	/he/docs/Web/HTML/Element/b
/he/docs/HTML/Element/bdi	/he/docs/Web/HTML/Element/bdi
/he/docs/HTML/Element/br	/he/docs/Web/HTML/Element/br
/he/docs/HTML/Element/canvas	/he/docs/Web/HTML/Element/canvas
/he/docs/HTML/Element/center	/he/docs/Web/HTML/Element/center
/he/docs/HTML/Element/cite	/he/docs/Web/HTML/Element/cite
/he/docs/HTML/Element/del	/he/docs/Web/HTML/Element/del
/he/docs/HTML/Element/em	/he/docs/Web/HTML/Element/em
/he/docs/HTML/Element/figcaption	/he/docs/Web/HTML/Element/figcaption
/he/docs/HTML/Element/figure	/he/docs/Web/HTML/Element/figure
/he/docs/HTML/Element/font	/he/docs/Web/HTML/Element/font
/he/docs/HTML/Element/footer	/he/docs/Web/HTML/Element/footer
/he/docs/HTML/Element/head	/he/docs/Web/HTML/Element/head
/he/docs/HTML/Element/header	/he/docs/Web/HTML/Element/header
/he/docs/HTML/Element/hgroup	/he/docs/Web/HTML/Element/hgroup
/he/docs/HTML/Element/hr	/he/docs/Web/HTML/Element/hr
/he/docs/HTML/Element/html	/he/docs/Web/HTML/Element/html
/he/docs/HTML/Element/ins	/he/docs/Web/HTML/Element/ins
/he/docs/HTML/Element/main	/he/docs/Web/HTML/Element/main
/he/docs/HTML/Element/mark	/he/docs/Web/HTML/Element/mark
/he/docs/HTML/Element/nav	/he/docs/Web/HTML/Element/nav
/he/docs/HTML/Element/p	/he/docs/Web/HTML/Element/p
/he/docs/HTML/Element/section	/he/docs/Web/HTML/Element/section
/he/docs/HTML/Element/strong	/he/docs/Web/HTML/Element/strong
/he/docs/HTML/Element/table	/he/docs/Web/HTML/Element/table
/he/docs/HTML/Element/time	/he/docs/Web/HTML/Element/time
/he/docs/HTML/Element/title	/he/docs/Web/HTML/Element/title
/he/docs/Hebrew_Localization	/he/docs/orphaned/Hebrew_Localization
/he/docs/JavaScript	/he/docs/Web/JavaScript
/he/docs/Learn/HTML/טבלאות	/he/docs/Learn/HTML/Tables
/he/docs/Learn/HTML/טפסים	/he/docs/Learn/Forms
/he/docs/Learn/HTML/מבוא_לשפת_HTML	/he/docs/Learn/HTML/Introduction_to_HTML
/he/docs/Learn/HTML/פתרון_בעיות	/he/docs/Learn/HTML/Howto
/he/docs/Learn/JavaScript/Building_blocks/תנאים	/he/docs/Learn/JavaScript/Building_blocks/conditionals
/he/docs/MDN/Community	/he/docs/orphaned/MDN/Community
/he/docs/MDN/Contribute/Howto/Create_an_MDN_account	/he/docs/orphaned/MDN/Contribute/Howto/Create_an_MDN_account
/he/docs/MDN/Getting_started	/he/docs/MDN/Contribute/Getting_started
/he/docs/Mozilla/Add-ons/WebExtensions/manifest.json/הרשאות	/he/docs/Mozilla/Add-ons/WebExtensions/manifest.json/permissions
/he/docs/Mozilla/Add-ons/WebExtensions/טיפום	/he/docs/Mozilla/Add-ons/WebExtensions/Tips
/he/docs/Mozilla_MathML_Project/Start-redirect-1	/he/docs/Mozilla_MathML_Project/Start
/he/docs/Web/API/Geolocation/ממשק_שירותי_מיקום	/he/docs/Web/API/Geolocation_API
/he/docs/Web/Guide/HTML	/he/docs/Learn/HTML
/he/docs/Web/Hypertext_Markup_Language	/he/docs/orphaned/Web/Hypertext_Markup_Language
/he/docs/Web/JavaScript/Reference/Methods_Index	/he/docs/Web/JavaScript/Reference
/he/docs/Web_Development	/he/docs/conflicting/Web/Guide
/he/docs/en	/en-US/
/he/docs/he	/he/docs/orphaned/he
/he/docs/מושגים	/he/docs/orphaned/מושגים
