# DO NOT EDIT THIS FILE MANUALLY.
# Use the CLI instead:
#
#    yarn content add-redirect <fromURL> <toURL>
#
# FROM-URL	TO-URL
/el/docs/Glossary/Δείκτης	/el/docs/Glossary/Index
/el/docs/Glossary/Προσβασιμότητα	/el/docs/Glossary/Accessibility
/el/docs/Learn/Common_questions/Πώς_δουλεύει_το_Διαδίκτυο	/el/docs/Learn/Common_questions/How_does_the_Internet_work
/el/docs/Learn/Common_questions/Σελίδες_τόποι_διακομιστές_και_μηχανές_αναζήτησης	/el/docs/Learn/Common_questions/Pages_sites_servers_and_search_engines
/el/docs/Learn/Common_questions/Τι_είναι_οι_υπερσύνδεσμοι	/el/docs/Learn/Common_questions/What_are_hyperlinks
/el/docs/Learn/HTML/Forms	/el/docs/Learn/Forms
/el/docs/Learn/HTML/Forms/Επικύρωση_δεδομένων_φόρμας	/el/docs/Learn/Forms/Form_validation
/el/docs/Learn/JavaScript/Πρώτα_βήματα	/el/docs/Learn/JavaScript/First_steps
/el/docs/MDN/Contribute/Howto/Dhmiourgia_logariasmou_MDN	/el/docs/orphaned/MDN/Contribute/Howto/Create_an_MDN_account
/el/docs/MDN/Getting_started	/el/docs/MDN/Contribute/Getting_started
/el/docs/MDN_at_ten	/el/docs/MDN/At_ten
/el/docs/Mozilla/Πρόσθετα	/el/docs/Mozilla/Add-ons
/el/docs/Web/JavaScript/Reference/Functions/Προεπιλεγμένες_παράμετροι	/el/docs/Web/JavaScript/Reference/Functions/Default_parameters
/el/docs/en	/en-US/
/el/docs/Εργαλεία	/el/docs/Tools
/el/docs/Εργαλεία/about:debugging	/el/docs/Tools/about:debugging
