# FROM-URL	TO-URL
/vi/docs/CSS	/vi/docs/Web/CSS
/vi/docs/CSS/background-color	/vi/docs/Web/CSS/background-color
/vi/docs/HTML	/vi/docs/Web/HTML
/vi/docs/Learn/CSS/Introduction_to_CSS	/en-US/docs/Learn/CSS/First_steps
/vi/docs/Learn/CSS/Introduction_to_CSS/Box_model	/en-US/docs/Learn/CSS/Building_blocks/The_box_model
/vi/docs/Learn/CSS/Introduction_to_CSS/How_CSS_works	/en-US/docs/Learn/CSS/First_steps/How_CSS_works
/vi/docs/Learn/CSS/Introduction_to_CSS/Selectors	/en-US/docs/Learn/CSS/Building_blocks/Selectors
/vi/docs/MDN/Contribute/Guidelines	/vi/docs/MDN/Guidelines
/vi/docs/MDN/Contribute/Guidelines/Writing_style_guide	/vi/docs/MDN/Guidelines/Writing_style_guide
/vi/docs/MDN/Contribute/Tools	/vi/docs/MDN/Tools
/vi/docs/MDN/Contribute/Tools/KumaScript	/vi/docs/MDN/Tools/KumaScript
/vi/docs/MDN/Contribute/Tools/KumaScript/Troubleshooting	/vi/docs/MDN/Tools/KumaScript/Troubleshooting
/vi/docs/MDN/Feedback	/vi/docs/MDN/Contribute/Feedback
/vi/docs/Web/CSS/transform-function/perspective	/vi/docs/Web/CSS/transform-function/perspective()
/vi/docs/Web/Guide/CSS	/vi/docs/Learn/CSS
/vi/docs/Web/Guide/HTML	/en-US/docs/Learn/HTML
/vi/docs/en	/en-US/
